index,source,entropy_avail,gen_time_ms,modulus_hex,publickey_sha256
1,baseline,256,758,94FE25EFA3C9FF25FCFA48C9511D854EA69F900207E25119E4FCEA39E5A268E7607837EA863B54CD1A644C0506639E9BE63A73B91510ED8D397416EE9BCB6D9E83198909D041936D133E554DCAF200671E2E30B03639DA845FA21B305B1DDC42FB7BC489CD1DE288A15AFD540A32E6777276B90DB38EB61C2824501D37562F5362A7737F0BE9732A28512D2DDC9076E6C1E7B26214DFB24A17CCE5AE19512E3576486CB4B03C1B5BF40940597AB041D39AB0DBAA4C732DCE809F2D161709174825F378EA91CEE56EAD6B4396B40EC35E28EAB3F7C5A84716F06275C72D5A09D03ED4F2B10CBEDD136D99A5AB70E370CCAE140ED9319FB2496EDEB2F4C623F705,a5998f9295f20dd8da3f23891ed9e11f344eb5da44a14bd6aea6749ae3f4af86
2,baseline,256,750,B085EF278A5BD59E30AD4927E5431B85D65BBAA717D9D7B6194BC756E2D6AA1B0D9C66862C06F5411D4E3A753B63B41733B2393A640B032DB4DA61FAE52932F78F49D7D146E3A928FBBF4D8F77B4A70FD4682B7BF266CF395508503C8CCD4151D394A070CAB0576A6C7229B88EC976283D5681372FDF0346AF0B6405A6E1E521542E7F63D8FABC0AE7268D82BAFBBFC09477AF7AA6B2F51D820825D0CF6E51992140C1E46667359D5737FD7086609EB42B9573A6F3B3A2C4A8941DD3F58B1E59AD1197AA455848AAFE78A0E7E56633A669584A91D0653CE533D0A05C610727EB9D1A6EE3931F7CD6CAE1A23CE74B089BDE3FDB39825ED05E4A9F3F0522410DE1,50a586ffa0e3cd653d1245648830dbeac1bd08a8cedfa249ba997eb76599c0e1
3,baseline,256,476,D5A90F0C9357BDEBA0A438918DA47A60B896CFE068E44CF7A536ACED68725F2060A9AB0084E4F03E2BD319AF2DCAF54BEA1015B89AE3E018BB7446E25DA479481600B9F79F2356D4A92281F0D1D43A53BA42177FBAE8170883EFA85A17611A896F2BF6736AD578314807E1981F41B00A108DB7F3AFBC92A7601152EED940473B85EA1B3879231AB744675C6ED504686CBB19985FED2BD033008093AB270F4AE17863F5E22F8A8A5BCC06B0445950D1AB4EA8869DAA7570085F3185007CE164A07351914DB25F34DF9917358D7CE74A57984A0EA3E3F7A26CFE6B5E6E6E1CD199EF948EE81F873E307BE44D66487CC484AE2F1A2F9A5813CFD89EEDBD153D94A3,61b664eae499fd89988163a1c2e6669ab879ed5fa8714ec9ec7ea20b61e51084
4,baseline,256,1171,A411A723E688CB32C40D03E0DC5110936EA310DF383E9C73168A958B8DB88ECD85CC3D1CBE077A38259D089F866F23115A0A14DA924DB258FDAE3B15B71F56983092B4E48E9518EF76288D8A4109AC97A0FE918785413BCA2BBB8301596A562F059F15558C8B8A2BE3A781628FA9DB5C55178A5A13BCF033651C5E3A4DDEF2EF3817791725DF327EF8B6431DC0305FAB3FAEC9B5C9F56FCBED9AB12C506D1BA5BA07DAF99247D6E3D23334F1056195BC4F1AF449D81BE34E1E2D17E1AD60D9C6E0FA5EE5F00F02A9F6DE3FC186A7D5B0E144CD421D6F479464DC51B0440CB46308165FA0F88C739DC5C415443B57C9EFC436ACE7544B37EE8E157AE1C7314937,2a952bf6a3a768fecc9241368e935636ea529d01303d64181672c355f6cd814e
5,baseline,256,237,8F1135875C3DFB0115ECE8CCF0136064DFB520DD00BFCBDCD07D95402BF3F6CF68257B9D4502E55E864D185D7821EBAF9209F76CE4232A8D678302EA6DA4D7EAEBBBB9A3146165FA3CB53EC7958B850FB123BFD0C4A8E1E09AC5A0DF8460C2F40C2FDAD2DA6F3FBB61CFC490D5806FBA4BE6738D1C1A5406A5AF4D769DAA023BC4F8085C52BA43CA2C83BF9B5E8DE1D52A1F77C49BC22FD8D8B741CE01524C51A71E189936E8903CDA67A899D4E48853B9088C6244AB5B67FAFC05ADDEB7A9A8A1D0BE3729D55ACFFDFC7FE8748941BBABB515875213A7BFB9B77FD6403A524E9E6B28ABB1FF81051BB08DB5E6876C9E7EA85DF87B6DE9D16917CE6DB78A37F3,4d409edc6ed458f2913b8f475f9221036a8eb0cc524d19db2d8578cd6d0a3531
6,baseline,256,224,AE3DCA96F7C9899231D5B16C2574993B79A047366F7E065C224952416EE4CCF72008DFB553967718815FB40F2B6E3A0F360FD6574B45750071C3DF4B973614062496711A1F2971FE63DD3168940DEF9678A864920D8FF7ADC576A21480B4FAD62F0EF0FB4CC7781183D90DB48B7CA1D41A9F13A703053295413AAE986D39C5E53BB07F197442BEC7ABE86DBD9DEDE035D7529EBBE15F8114961C9627B1C2049DD911B874A2647AE1731BD2EF983B8186AC6125C86E0E1F4396BA21638D4B6B16D335FAEF70347C0AD38F810AD23CA40F216D1616C2612A2D7E1905F2FE4594C0F8F68902434F7C40AB25F90F7DB736B1407501C59B1BF843565E3F081295A5CF,7b96b7b1a62817b3c96af2b9029e93eec03b73913b21abbfe3313ac8e71efb3e
7,baseline,256,1449,CB62CA361B060CEFED515BE7D818BABBCADA9A9E4F795AD6FF6F30A24CA22D93E163BA16401658EAC6EF361F3140240C73868FBCDA761FAB8EFF2E637B18FF6204A4C2010375E2B471A23DA12801BAECEBB7D1682C8715A6037612CD680E8B2D0392545F2FA235F5153C832F1ABB2653E762B506038232CC4B6BED04CFA36CA5DCD7F8FA7679D5EA03A41F3AA72F378ED31C954B3492E06701D00336A42485EFBAFDDB147168D6E5F83F4B2D775AEAE130C8F0E05BC74A957E43A13E1C24398F089ACCA4A5A3F6B7F7AC56FCC5AF38EE81830C1A8933EBF0B95296E6ECC7A5E64586AE0266F499C979E2D2A5C6E1F23BD56591E6FB1D39CC987251E41C21A0AF,9c320d72ca59e7919ba8c0c8dfc6e05fd7571a5dc1e6f28c4dd80f75c6ce764c
8,baseline,256,252,B44A85805F5170B363D5AB8E04CE5442A052552B6554B69B6D47C6436DBC5BBB5D58861EDF8049B596F0A853B96BAF2065070F444C1D42B0A433A70F96A2DDFE9C90BFE3DEB8F114074780F410A2E29275B8118E99079B807200A058DA9B936604FC135DA208D9472B61F1F5B3C9C021F3CB01258B72957948637DD2316983494904EACEA327DFB7DF7F0B39059FFFCB0C6D11487072564DEC06692E199B89BC46C8FE815531A1CB331623A6718439614A6392E6BF26511C8179CBBA733835F3BB1DF41170855197D35689BD6C2F48242C2C8A878210E8F80C42287FBE5E463B82226A3B8AC7A1243347233207C15F42162D74321EB0FB99EEA1D184284771CD,16c12d921289bd435ad60ed348892ab981dfafa6a59e29efe940d68e07495c5e
9,baseline,256,602,9B67C25C08DBF521B2861CFDE14109DD460664E00FAC8C2B51BBADBE0B9A417452871B1E51063FE92CB9D8B307C0A612AD9DC8FFE542BABAF7FB2DC8872D348D15B9F207E4E00921F18DC58F1B0694A9B05CF13D63FADB747B1C0D885BF4886FCB52BB492DA7998131BF5688D8F2308BD8E23F194CD80B0E7665BC2F5DAD30F8A6CB4DE20CD962E5D0B1D3211CE3E18309EBAE0FDF1D896AA95EE3C6B10A201247E5F5B58900D347E8FB3A8A6D3F249046264D2CB0FA321F02E24A503B8304EFD20760E7E2DE0890242408F5F4D518F04E9CB980C7A9549C54A76AFBDD62F97F78D9B09351795EB7B235D8CB49E5E48D165D80A30188F3C7D25B7D96E17BA5D3,68b668de28b8e4f9e6e817b5c894ad3c6a6f6284a47c3f4577cf8a0a55a4d268
10,baseline,256,1115,9E3633D65B428ACE52AD4EB6F88C5645E429A3518CC0E7E183F670B6372924FA19B5B34CD4631DB2ED37F7A1F41877DB260AEA4FCC737954AC3FA6176F2CC25D5C7E897077F67838BF5EA0A463421CAB4703C4F218771F24F704813C69FF94AB7F0E05E4C0AF4246A4832B413249F70773F6F1507B63CD1FAA3592C24A469A3E5656DBE39C73F90CB1C42738090D82E96F52E6892351FA1005E28721DCBE9EAA1689EAC6B050ECC2F0A78A1CE43BDDA416F5A1809549BE87653B821107F3C931E5801DEE229DAEFD30E44B9EBC11BDC1868A86682A3F6805F26A02BC66C664A651DAC74ABF6BF44825CD49283EB237E6A504FF32A166BFFDEA18060FFE2472B7,e934c013f6920acb7457424a57558b0fa1c7df12440ef78b0fca998384f31e7e
